id,name,created_at,updated_at
1,economics,"2013-11-04 07:20:29.441527","2013-11-04 07:20:29.441527"
2,entertainment,"2013-11-04 07:20:29.487979","2013-11-04 07:20:29.487979"
3,fun,"2013-11-04 07:20:29.503000","2013-11-04 07:20:29.503000"
4,it,"2013-11-04 07:20:29.520267","2013-11-04 07:20:29.520267"
5,knowledge,"2013-11-04 07:20:29.538518","2013-11-04 07:20:29.538518"
6,life,"2013-11-04 07:20:29.558344","2013-11-04 07:20:29.558344"
7,social,"2013-11-04 07:20:29.574818","2013-11-04 07:20:29.574818"
8,other,"2013-11-04 07:20:29.595917","2013-11-04 07:20:29.595917"
